GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,Yes,,,,,,
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,Yes,,,,,,
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2011,2011,,EUR,Europe,,FRA,2011,2011,France,,Yes,,,,,,
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2012,2012,,EUR,Europe,,FRA,2012,2012,France,,Yes,,,,,,
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,Yes,,,,,,
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,Yes,,,,,,
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,Yes,,,,,,
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2016,2016,,EUR,Europe,,FRA,2016,2016,France,,Yes,,,,,,
GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,18.27,18.26923,,,,,
GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,0.00,0.00000,,,,,
GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2011,2011,,EUR,Europe,,FRA,2011,2011,France,,1.83,1.83486,,,,,
GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2012,2012,,EUR,Europe,,FRA,2012,2012,France,,0.00,0.00000,,,,,
GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,0.00,0.00000,,,,,
GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,10.91,10.90909,,,,,
GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,5.71,5.71429,,,,,
GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2016,2016,,EUR,Europe,,FRA,2016,2016,France,,7.07,7.07071,,,,,
GASPRSCFM,Proportion of isolates with decreased susceptibility or resistance (DS/R) to cefepime reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,1.92,1.92308,,,,,
GASPRSCFM,Proportion of isolates with decreased susceptibility or resistance (DS/R) to cefepime reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,1.80,1.80180,,,,,
GASPRSCFM,Proportion of isolates with decreased susceptibility or resistance (DS/R) to cefepime reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2011,2011,,EUR,Europe,,FRA,2011,2011,France,,0.00,0.00000,,,,,
GASPRSCFM,Proportion of isolates with decreased susceptibility or resistance (DS/R) to cefepime reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2012,2012,,EUR,Europe,,FRA,2012,2012,France,,1.82,1.81818,,,,,
GASPRSCFM,Proportion of isolates with decreased susceptibility or resistance (DS/R) to cefepime reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,3.57,3.57143,,,,,
GASPRSCFM,Proportion of isolates with decreased susceptibility or resistance (DS/R) to cefepime reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,0.91,0.90909,,,,,
