GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,#indicator+value+num,,,,,
LBW_PREVALENCE,"Low birth weight, prevalence (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/76,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,2000,2000,,,FRA,France,,7.5 [6.0-9.4],7.50000,6.00000,9.40000,,,
LBW_PREVALENCE,"Low birth weight, prevalence (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/76,PUBLISHED,Published,,2001,2001,,EUR,Europe,,,2001,2001,,,FRA,France,,7.5 [6.0-9.6],7.50000,6.00000,9.60000,,,
LBW_PREVALENCE,"Low birth weight, prevalence (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/76,PUBLISHED,Published,,2002,2002,,EUR,Europe,,,2002,2002,,,FRA,France,,7.5 [6.0-9.5],7.50000,6.00000,9.50000,,,
LBW_NUMBER,Low birth weight (in thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/76,PUBLISHED,Published,,2003,2003,,EUR,Europe,,,2003,2003,,,FRA,France,,57.8 [46.2-74.7],57.80000,46.20000,74.70000,,,
LBW_NUMBER,Low birth weight (in thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/76,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,2004,2004,,,FRA,France,,58.1 [46.7-73.1],58.10000,46.70000,73.10000,,,
LBW_NUMBER,Low birth weight (in thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/76,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,2005,2005,,,FRA,France,,58.4 [46.4-73.6],58.40000,46.40000,73.60000,,,
LBW_NUMBER,Low birth weight (in thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/76,PUBLISHED,Published,,2006,2006,,EUR,Europe,,,2006,2006,,,FRA,France,,58.5 [47.5-74.2],58.50000,47.50000,74.20000,,,
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4756,PUBLISHED,Published,,2010,2010,,EUR,Europe,,WB_HI,2010,2010,High-income,,FRA,France,,61,61.00000,,,,,
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4756,PUBLISHED,Published,,2011,2011,,EUR,Europe,,WB_HI,2011,2011,High-income,,FRA,France,,67,67.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,PUBLISHED,Published,,1992,1992,,EUR,Europe,,WB_HI,1992,1992,High-income,,FRA,France,,94,94.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,PUBLISHED,Published,,1993,1993,,EUR,Europe,,WB_HI,1993,1993,High-income,,FRA,France,,94,94.00000,,,,,
