GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,,,,#country+code,#country+name,,,#indicator+value+num,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,1995,1995,,EUR,1995,1995,Europe,,WB_HI,High-income,,FRA,France,,58.51,58.51470,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,1996,1996,,EUR,1996,1996,Europe,,WB_HI,High-income,,FRA,France,,60.12,60.11561,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,1997,1997,,EUR,1997,1997,Europe,,WB_HI,High-income,,FRA,France,,60.57,60.56708,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,1998,1998,,EUR,1998,1998,Europe,,WB_HI,High-income,,FRA,France,,61.18,61.17948,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,1999,1999,,EUR,1999,1999,Europe,,WB_HI,High-income,,FRA,France,,61.11,61.10512,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,WB_HI,High-income,,FRA,France,,61.56,61.55835,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,2001,2001,,EUR,2001,2001,Europe,,WB_HI,High-income,,FRA,France,,61.27,61.26593,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,2002,2002,,EUR,2002,2002,Europe,,WB_HI,High-income,,FRA,France,,61.81,61.80883,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,2003,2003,,EUR,2003,2003,Europe,,WB_HI,High-income,,FRA,France,,57.28,57.28384,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,WB_HI,High-income,,FRA,France,,57.62,57.62349,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,WB_HI,High-income,,FRA,France,,57.77,57.77059,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,2006,2006,,EUR,2006,2006,Europe,,WB_HI,High-income,,FRA,France,,56.72,56.71602,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,WB_HI,High-income,,FRA,France,,57.18,57.18245,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,WB_HI,High-income,,FRA,France,,56.68,56.68243,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,2009,2009,,EUR,2009,2009,Europe,,WB_HI,High-income,,FRA,France,,57.07,57.06887,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,WB_HI,High-income,,FRA,France,,58.00,57.99795,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,WB_HI,High-income,,FRA,France,,60.35,60.35232,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,2012,2012,,EUR,2012,2012,Europe,,WB_HI,High-income,,FRA,France,,60.67,60.66970,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,2013,2013,,EUR,2013,2013,Europe,,WB_HI,High-income,,FRA,France,,60.70,60.70472,,,,,
WHS7_103,Private prepaid plans as a percentage of private expenditure on health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/120,NHA_FRA,France note,,PUBLISHED,Published,,2014,2014,,EUR,2014,2014,Europe,,WB_HI,High-income,,FRA,France,,61.00,61.00226,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,1995,1995,,EUR,1995,1995,Europe,,WB_HI,High-income,,FRA,France,,2186.98,2186.98068,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,1996,1996,,EUR,1996,1996,Europe,,WB_HI,High-income,,FRA,France,,2181.34,2181.34456,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,1997,1997,,EUR,1997,1997,Europe,,WB_HI,High-income,,FRA,France,,1942.98,1942.97562,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,1998,1998,,EUR,1998,1998,Europe,,WB_HI,High-income,,FRA,France,,1977.35,1977.35485,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,1999,1999,,EUR,1999,1999,Europe,,WB_HI,High-income,,FRA,France,,1952.97,1952.97294,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,WB_HI,High-income,,FRA,France,,1753.80,1753.80246,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,2001,2001,,EUR,2001,2001,Europe,,WB_HI,High-income,,FRA,France,,1779.05,1779.05086,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,2002,2002,,EUR,2002,2002,Europe,,WB_HI,High-income,,FRA,France,,1988.77,1988.76773,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,2003,2003,,EUR,2003,2003,Europe,,WB_HI,High-income,,FRA,France,,2428.01,2428.01072,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,WB_HI,High-income,,FRA,France,,2798.45,2798.44784,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,WB_HI,High-income,,FRA,France,,2901.91,2901.91449,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,2006,2006,,EUR,2006,2006,Europe,,WB_HI,High-income,,FRA,France,,3005.23,3005.23035,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,WB_HI,High-income,,FRA,France,,3396.78,3396.77720,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,WB_HI,High-income,,FRA,France,,3731.41,3731.41251,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,2009,2009,,EUR,2009,2009,Europe,,WB_HI,High-income,,FRA,France,,3661.26,3661.26151,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,WB_HI,High-income,,FRA,France,,3552.87,3552.87445,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,WB_HI,High-income,,FRA,France,,3846.60,3846.60326,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,2012,2012,,EUR,2012,2012,Europe,,WB_HI,High-income,,FRA,France,,3625.58,3625.57516,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,2013,2013,,EUR,2013,2013,Europe,,WB_HI,High-income,,FRA,France,,3819.60,3819.59691,,,,,
WHS7_104,Per capita government expenditure on health at average exchange rate (US$),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/109,NHA_FRA,France note,,PUBLISHED,Published,,2014,2014,,EUR,2014,2014,Europe,,WB_HI,High-income,,FRA,France,,3878.19,3878.19169,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,1995,1995,,EUR,1995,1995,Europe,,WB_HI,High-income,,FRA,France,,2102.34,2102.33688,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,1996,1996,,EUR,1996,1996,Europe,,WB_HI,High-income,,FRA,France,,2162.52,2162.51616,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,1997,1997,,EUR,1997,1997,Europe,,WB_HI,High-income,,FRA,France,,2227.03,2227.02573,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,1998,1998,,EUR,1998,1998,Europe,,WB_HI,High-income,,FRA,France,,2311.40,2311.40353,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,1999,1999,,EUR,1999,1999,Europe,,WB_HI,High-income,,FRA,France,,2403.73,2403.72746,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,WB_HI,High-income,,FRA,France,,2554.75,2554.75462,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,2001,2001,,EUR,2001,2001,Europe,,WB_HI,High-income,,FRA,France,,2727.91,2727.90838,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,2002,2002,,EUR,2002,2002,Europe,,WB_HI,High-income,,FRA,France,,2931.23,2931.23464,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,2003,2003,,EUR,2003,2003,Europe,,WB_HI,High-income,,FRA,France,,2947.42,2947.41953,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,WB_HI,High-income,,FRA,France,,3079.14,3079.13523,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,WB_HI,High-income,,FRA,France,,3240.67,3240.66943,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,2006,2006,,EUR,2006,2006,Europe,,WB_HI,High-income,,FRA,France,,3420.67,3420.67411,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,WB_HI,High-income,,FRA,France,,3577.36,3577.35635,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,WB_HI,High-income,,FRA,France,,3735.80,3735.80177,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,2009,2009,,EUR,2009,2009,Europe,,WB_HI,High-income,,FRA,France,,3948.40,3948.40229,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,WB_HI,High-income,,FRA,France,,4039.01,4039.00625,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,WB_HI,High-income,,FRA,France,,4254.53,4254.53311,,,,,
WHS7_105,Per capita total expenditure on health (PPP int. $),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/110,NHA_FRA,France note,,PUBLISHED,Published,,2012,2012,,EUR,2012,2012,Europe,,WB_HI,High-income,,FRA,France,,4285.44,4285.43859,,,,,
