GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,1990,1990,,EUR,Europe,,FRA,1990,1990,France,,,,,31.043,31.04300,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,1991,1991,,EUR,Europe,,FRA,1991,1991,France,,,,,31.557,31.55700,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,1992,1992,,EUR,Europe,,FRA,1992,1992,France,,,,,32.066,32.06600,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,1993,1993,,EUR,Europe,,FRA,1993,1993,France,,,,,32.330,32.33000,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,1994,1994,,EUR,Europe,,FRA,1994,1994,France,,,,,32.660,32.66000,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,1995,1995,,EUR,Europe,,FRA,1995,1995,France,,,,,32.852,32.85200,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,1996,1996,,EUR,Europe,,FRA,1996,1996,France,,,,,33.038,33.03800,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,1997,1997,,EUR,Europe,,FRA,1997,1997,France,,,,,33.215,33.21500,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,1998,1998,,EUR,Europe,,FRA,1998,1998,France,,,,,33.337,33.33700,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,1999,1999,,EUR,Europe,,FRA,1999,1999,France,,,,,33.345,33.34500,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2000,2000,,EUR,Europe,,FRA,2000,2000,France,,,,,33.547,33.54700,,,,,
HWF_0001,Medical doctors (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5314,PUBLISHED,Published,,2001,2001,,EUR,Europe,,FRA,2001,2001,France,,,,,33.871,33.87100,,,,,
