GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
IHR01,Legislation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4407,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,100,100.00000,,,,,
IHR02,Coordination,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4408,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,80,80.00000,,,,,
IHR03,Surveillance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4409,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,95,95.00000,,,,,
IHR04,Response,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4410,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,100,100.00000,,,,,
IHR05,Preparedness,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4411,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,80,80.00000,,,,,
IHR06,Risk communication,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4412,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,86,86.00000,,,,,
IHR07,Human resources,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4413,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,60,60.00000,,,,,
IHR08,Laboratory,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4414,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,100,100.00000,,,,,
IHR09,Points of entry,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4415,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,21,21.00000,,,,,
