GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,#indicator+value+num,,,,,
NTD_3,Annual incidence of dracunculiasis cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2464,PUBLISHED,Published,,2002,2002,,EUR,Europe,,WB_HI,2002,2002,High-income,,FRA,France,,0,,,,,,
NTD_3,Annual incidence of dracunculiasis cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2464,PUBLISHED,Published,,2003,2003,,EUR,Europe,,WB_HI,2003,2003,High-income,,FRA,France,,0,,,,,,
NTD_3,Annual incidence of dracunculiasis cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2464,PUBLISHED,Published,,2004,2004,,EUR,Europe,,WB_HI,2004,2004,High-income,,FRA,France,,0,,,,,,
NTD_3,Annual incidence of dracunculiasis cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2464,PUBLISHED,Published,,1990,1990,,EUR,Europe,,WB_HI,1990,1990,High-income,,FRA,France,,0,,,,,,
NTD_3,Annual incidence of dracunculiasis cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2464,PUBLISHED,Published,,1991,1991,,EUR,Europe,,WB_HI,1991,1991,High-income,,FRA,France,,0,,,,,,
NTD_3,Annual incidence of dracunculiasis cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2464,PUBLISHED,Published,,1992,1992,,EUR,Europe,,WB_HI,1992,1992,High-income,,FRA,France,,0,,,,,,
NTD_3,Annual incidence of dracunculiasis cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2464,PUBLISHED,Published,,1994,1994,,EUR,Europe,,WB_HI,1994,1994,High-income,,FRA,France,,0,,,,,,
NTD_3,Annual incidence of dracunculiasis cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2464,PUBLISHED,Published,,1995,1995,,EUR,Europe,,WB_HI,1995,1995,High-income,,FRA,France,,0,,,,,,
NTD_3,Annual incidence of dracunculiasis cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2464,PUBLISHED,Published,,1996,1996,,EUR,Europe,,WB_HI,1996,1996,High-income,,FRA,France,,0,,,,,,
