GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
NTD_BEJELSTATUS,Status of bejel endemicity,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4458,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,No previous history of bejel,,,,,,
NTD_PINTASTATUS,Status of pinta endemicity,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4460,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,No previous history of pinta,,,,,,
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2005,2005,,EUR,Europe,,FRA,2005,2005,France,,19,19.00000,,,,,
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2006,2006,,EUR,Europe,,FRA,2006,2006,France,,16,16.00000,,,,,
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2007,2007,,EUR,Europe,,FRA,2007,2007,France,,22,22.00000,,,,,
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2008,2008,,EUR,Europe,,FRA,2008,2008,France,,17,17.00000,,,,,
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,14,14.00000,,,,,
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,5,5.00000,,,,,
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2012,2012,,EUR,Europe,,FRA,2012,2012,France,,10,10.00000,,,,,
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2011,2011,,EUR,Europe,,FRA,2011,2011,France,,25,25.00000,,,,,
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,8,8.00000,,,,,
NTD_LEISHVNUM,Number of cases of visceral leishmaniasis reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3759,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,11,11.00000,,,,,
