GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
NCD_CCS_BowelCancer,General availability of colon cancer screening at the primary health care level,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2411,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,Yes,,,,,,
NCD_CCS_BreastCancer,General availability of breast cancer screening (by palpation or mammogram) at the primary health care level,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2412,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,Yes,,,,,,
NCD_CCS_CervCy,General availability of cervical cytology at the primary health care level,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2409,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,Yes,,,,,,
NCD_CCS_CholMsmt,General availability of total cholesterol measurement at the primary health care level,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2415,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,Yes,,,,,,
NCD_CCS_DiabetesTest,"General availability of diabetes testing (by blood glucose measurement, OGTT, or HbA1c) at the primary health care level",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2413,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,Yes,,,,,,
NCD_CCS_Spirom,General availability of peak flow measurement spirometry at the primary health care level,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2416,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,Yes,,,,,,
NCD_CCS_UrineAlbumin,General availability of urine testing for albumin,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4553,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,Yes,,,,,,
NCD_CCS_ACE,General availability of ACE inhibitors in the public health sector,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2422,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,Yes,,,,,,
NCD_CCS_Aspirin,General availability of aspirin (100 mg) in the public health sector,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2418,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,Yes,,,,,,
