GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,#sex+code,#sex+name,,,,,,#indicator+value+num,,,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1980,1980,,EUR,Europe,,FRA,1980,1980,France,,AGE20-PLUS,20+ years,,MLE,Male,,,,,24.9 [23.6-26.2],24.90000,23.60000,26.20000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1987,1987,,EUR,Europe,,FRA,1987,1987,France,,AGE20-PLUS,20+ years,,MLE,Male,,,,,25.1 [24.3-25.8],25.10000,24.30000,25.80000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1989,1989,,EUR,Europe,,FRA,1989,1989,France,,AGE20-PLUS,20+ years,,MLE,Male,,,,,25.1 [24.5-25.8],25.10000,24.50000,25.80000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1994,1994,,EUR,Europe,,FRA,1994,1994,France,,AGE20-PLUS,20+ years,,MLE,Male,,,,,25.4 [24.7-26.0],25.40000,24.70000,26.00000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1996,1996,,EUR,Europe,,FRA,1996,1996,France,,AGE20-PLUS,20+ years,,MLE,Male,,,,,25.5 [24.9-26.1],25.50000,24.90000,26.10000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1998,1998,,EUR,Europe,,FRA,1998,1998,France,,AGE20-PLUS,20+ years,,MLE,Male,,,,,25.6 [25.0-26.2],25.60000,25.00000,26.20000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2003,2003,,EUR,Europe,,FRA,2003,2003,France,,AGE20-PLUS,20+ years,,MLE,Male,,,,,26.0 [25.4-26.5],26.00000,25.40000,26.50000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2005,2005,,EUR,Europe,,FRA,2005,2005,France,,AGE20-PLUS,20+ years,,MLE,Male,,,,,26.1 [25.5-26.7],26.10000,25.50000,26.70000,,,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1980,1980,,EUR,Europe,,FRA,1980,1980,France,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,24.3 [22.8-25.9],24.30000,22.80000,25.90000,,,
