GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),PLACE (CODE),PLACE (DISPLAY),PLACE (URL),INADEQUACY (CODE),INADEQUACY (DISPLAY),INADEQUACY (URL),SUNBED_ACCESS (CODE),SUNBED_ACCESS (DISPLAY),SUNBED_ACCESS (URL),SUNBED_CONTROL (CODE),SUNBED_CONTROL (DISPLAY),SUNBED_CONTROL (URL),SUNBED_INFO (CODE),SUNBED_INFO (DISPLAY),SUNBED_INFO (URL),SUNBED_TRAINING (CODE),SUNBED_TRAINING (DISPLAY),SUNBED_TRAINING (URL),SUNBED_SAFETY (CODE),SUNBED_SAFETY (DISPLAY),SUNBED_SAFETY (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,,,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#indicator+value+num,,,,,
UV_3,UV radiation attributable DALYs ('000),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2394,,,,PUBLISHED,Published,,2002,2002,,EUR,2002,2002,Europe,,,,,FRA,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19540,19539.89000,,,,,
UV_5,UV radiation attributable DALYs per 100'000 capita,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2394,,,,PUBLISHED,Published,,2002,2002,,EUR,2002,2002,Europe,,,,,FRA,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32.23000,,,,,
AIR_2_1,Ambient air pollution in urban areas (Annual PM<sub>10</sub> [&#956;g/m<sup>3</sup>]),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1349,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27.00000,,,,,
AIR_1,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7535,7535.00000,,,,,
AIR_6,Ambient air pollution  attributable deaths per 100'000 children under 5 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,FRA,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00000,,,,,
WHS5_512,Population using solid fuels (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/318,PHEFN3,High-income,,PUBLISHED,Published,,2013,2013,,EUR,2013,2013,Europe,,WB_HI,High-income,,FRA,France,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<5,,,,,,
WHS5_512,Population using solid fuels (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/318,PHEFN3,High-income,,PUBLISHED,Published,,2013,2013,,EUR,2013,2013,Europe,,WB_HI,High-income,,FRA,France,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not available,,,,,,
WHS5_512,Population using solid fuels (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/318,PHEFN3,High-income,,PUBLISHED,Published,,2013,2013,,EUR,2013,2013,Europe,,WB_HI,High-income,,FRA,France,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not available,,,,,,
TOTENV_2,Age-standardized deaths attributable to the environment (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4656,,,,PUBLISHED,Published,,2012,2012,,EUR,2012,2012,Europe,,,,,FRA,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENVCAUSE151,Injuries,,8,7.67410,,,,,
