GHO (CODE),ENDYEAR,COUNTRY (CODE),SEX (DISPLAY),Numeric
#indicator+code,#date+year+end,#country+code,#sex+name,#indicator+value+num
MDG_0000000001,2018,FRA,Both sexes,3.37981
MDG_0000000001,2018,FRA,Female,3.03866
MDG_0000000001,2018,FRA,Male,3.70595
MDG_0000000001,2013,FRA,Female,3.11922
MDG_0000000001,2013,FRA,Male,3.80327
MDG_0000000001,2012,FRA,Both sexes,3.50027
MDG_0000000001,2012,FRA,Female,3.14262
MDG_0000000001,2008,FRA,Male,3.97883
MDG_0000000001,2007,FRA,Both sexes,3.64010
MDG_0000000001,2007,FRA,Female,3.21840
MDG_0000000001,2007,FRA,Male,4.04001
MDG_0000000001,2006,FRA,Both sexes,3.69889
MDG_0000000001,2002,FRA,Female,3.68564
MDG_0000000001,2002,FRA,Male,4.66310
MDG_0000000001,2001,FRA,Both sexes,4.31484
MDG_0000000001,2001,FRA,Female,3.79156
MDG_0000000001,1996,FRA,Both sexes,5.04242
MDG_0000000001,1996,FRA,Female,4.38734
MDG_0000000001,1996,FRA,Male,5.66460
MDG_0000000001,1995,FRA,Both sexes,5.35713
MDG_0000000001,1991,FRA,Male,8.07125
MDG_0000000001,1990,FRA,Both sexes,7.39440
MDG_0000000001,1990,FRA,Female,6.29221
MDG_0000000001,1990,FRA,Male,8.44385
MDG_0000000001,1985,FRA,Both sexes,8.52110
MDG_0000000001,1985,FRA,Female,7.31148
MDG_0000000001,1985,FRA,Male,9.67270
MDG_0000000001,1984,FRA,Both sexes,8.80538
MDG_0000000001,1984,FRA,Female,7.56253
MDG_0000000001,1980,FRA,Male,11.56963
MDG_0000000001,1979,FRA,Both sexes,10.57285
MDG_0000000001,1979,FRA,Female,9.07212
MDG_0000000001,1979,FRA,Male,12.00080
MDG_0000000001,1974,FRA,Female,11.02650
MDG_0000000001,1974,FRA,Male,14.35306
MDG_0000000001,1973,FRA,Both sexes,13.16242
MDG_0000000001,1973,FRA,Female,11.43975
MDG_0000000001,1969,FRA,Male,17.73521
MDG_0000000001,1968,FRA,Both sexes,16.41966
MDG_0000000001,1968,FRA,Female,14.27531
MDG_0000000001,1968,FRA,Male,18.46187
MDG_0000000001,1967,FRA,Both sexes,17.06909
MDG_0000000001,1963,FRA,Female,17.51590
MDG_0000000001,1963,FRA,Male,22.91509
MDG_0000000001,1962,FRA,Both sexes,21.30312
MDG_0000000001,1962,FRA,Female,18.34772
MDG_0000000001,1957,FRA,Both sexes,28.92145
MDG_0000000001,1957,FRA,Female,25.17105
MDG_0000000001,1957,FRA,Male,32.49108
MDG_0000000001,1956,FRA,Both sexes,31.08404
