GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),GOVERNMENTBENEFIT (CODE),GOVERNMENTBENEFIT (DISPLAY),GOVERNMENTBENEFIT (URL),PROGRAMME (CODE),PROGRAMME (DISPLAY),PROGRAMME (URL),SUBSTANCETYPE (CODE),SUBSTANCETYPE (DISPLAY),SUBSTANCETYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,,,,,,,,#indicator+value+num,,,,,
RSUD_250,Five-year change in government resources for prevention for substance use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2540,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,ALCOHOL,Alcohol,,Slight decrease,,,,,,
RSUD_250,Five-year change in government resources for prevention for substance use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2540,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,DRUGS,Drugs,,Slight decrease,,,,,,
RSUD_260,Five-year change in government resources for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2540,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,ALCOHOL,Alcohol,,Slight increase,,,,,,
RSUD_260,Five-year change in government resources for treatment of substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2540,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,DRUGS,Drugs,,Slight increase,,,,,,
RSUD_300,Government benefits for people with alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2521,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,MONETARY_SUPPORT,Monetary support,,,,,,,,Yes,,,,,,
RSUD_300,Government benefits for people with alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2521,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,NON_MONETARY_SUPPORT,Non monetary support,,,,,,,,Yes,,,,,,
RSUD_310,Government benefits for people with drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2521,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,MONETARY_SUPPORT,Monetary support,,,,,,,,Yes,,,,,,
RSUD_310,Government benefits for people with drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2521,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,NON_MONETARY_SUPPORT,Non monetary support,,,,,,,,Yes,,,,,,
RSUD_290,Hypothecated taxes to be spent on prevention and treatment for substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2575,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,ALCOHOL,Alcohol,,No,,,,,,
RSUD_290,Hypothecated taxes to be spent on prevention and treatment for substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2575,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,,,,DRUGS,Drugs,,No,,,,,,
RSUD_270,Financing methods for treatment for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2519,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,OUT_PATIENT_DETOXIFICATION,Out-patient detoxification,,,,,No data,,,,,,
RSUD_270,Financing methods for treatment for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2519,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,IN_PATIENT_DETOXIFICATION,In-patient detoxification,,,,,No data,,,,,,
RSUD_270,Financing methods for treatment for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2519,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,OUT_PATIENT_TREATMENT,Out-patient treatment,,,,,No data,,,,,,
RSUD_270,Financing methods for treatment for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2519,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,IN_PATIENT_TREATMENT,In-patient treatment,,,,,No data,,,,,,
RSUD_270,Financing methods for treatment for alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2519,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,REHABILITATION,Rehabilitation,,,,,No data,,,,,,
