GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SUBSTANCETYPEDISORDER (CODE),SUBSTANCETYPEDISORDER (DISPLAY),SUBSTANCETYPEDISORDER (URL),SUBSTANCETYPE (CODE),SUBSTANCETYPE (DISPLAY),SUBSTANCETYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,,,,,,,#indicator+value+num,,,,,
RSUD_540,Screening and brief intervention for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2572,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,ALCOHOL_USE_AND_DISORDERS,Alcohol use and alcohol use disorders,,,,,Some (11-30%),,,,,,
RSUD_540,Screening and brief intervention for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2572,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,DRUG_USE_AND_DISORDERS,Drug use and drug use disorders,,,,,Some (11-30%),,,,,,
RSUD_560,Recommendations for screening and brief interventions for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,ALCOHOL,Alcohol,,Yes,,,,,,
RSUD_560,Recommendations for screening and brief interventions for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,CANNABIS,Cannabis,,Yes,,,,,,
RSUD_560,Recommendations for screening and brief interventions for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,TOBACCO,Tobacco,,Yes,,,,,,
RSUD_560,Recommendations for screening and brief interventions for substance use in antenatal services,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,PRESCRIPTION_DRUGS,Prescription drugs,,Yes,,,,,,
RSUD_530,Screening and brief intervention for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2572,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,ALCOHOL_USE_AND_DISORDERS,Alcohol use and alcohol use disorders,,,,,No data,,,,,,
RSUD_530,Screening and brief intervention for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2572,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,DRUG_USE_AND_DISORDERS,Drug use and drug use disorders,,,,,No data,,,,,,
RSUD_550,Recommendations for screening and brief interventions for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,ALCOHOL,Alcohol,,No data,,,,,,
RSUD_550,Recommendations for screening and brief interventions for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,TOBACCO,Tobacco,,No data,,,,,,
RSUD_550,Recommendations for screening and brief interventions for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,CANNABIS,Cannabis,,No data,,,,,,
RSUD_550,Recommendations for screening and brief interventions for substance use in primary health care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2522,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,,,,PRESCRIPTION_DRUGS,Prescription drugs,,No data,,,,,,
