GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
SRHINSTITUTIONALBIRTH,Institutional Births (birth taken place in a facility) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5580,PUBLISHED,Published,,2001,2001,,EUR,Europe,,FRA,2001,2001,France,,99.6,99.60000,,,,,"INSEE Première, Institut National de la Statistique et des Études Économiques (INSEE) [France]; 2003. Doisneau, L. Une femme accouche en moyenne à 14 kilomètres de son domicile. In: INSEE Première. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2003: No 903 - Juin 2003 (in French)."
SRHINSTITUTIONALBIRTH,Institutional Births (birth taken place in a facility) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5580,PUBLISHED,Published,,2004,2004,,EUR,Europe,,FRA,2004,2004,France,,98.0,98.00000,,,,,"Institut National de la Statistique et des Études Économiques (INSEE) [France]; 2005. Tableau 64: Conditions d'accouchement selon le groupe d'âges de la mère. Année 2004 [website]. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2005 (http://www.insee.fr/en/insee-statistique-publique/default.asp, accessed 23 November 2011, in French)."
SRHINSTITUTIONALBIRTH,Institutional Births (birth taken place in a facility) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5580,PUBLISHED,Published,,2005,2005,,EUR,Europe,,FRA,2005,2005,France,,97.9,97.90000,,,,,"Institut National de la Statistique et des Études Économiques (INSEE) [France]; 2006. Tableau 64: Conditions d'accouchement selon le groupe d'âges de la mère. Année 2005 [website]. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2006 (http://www.insee.fr/en/insee-statistique-publique/default.asp, accessed 23 November 2011, in French)."
SRHINSTITUTIONALBIRTH,Institutional Births (birth taken place in a facility) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5580,PUBLISHED,Published,,2006,2006,,EUR,Europe,,FRA,2006,2006,France,,98.3,98.30000,,,,,"Institut National de la Statistique et des Études Économiques (INSEE) [France]; 2007. Tableau 64: Conditions d'accouchement selon le groupe d'âges de la mère. Année 2006 [website]. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2007 (http://www.insee.fr/en/insee-statistique-publique/default.asp, accessed 23 November 2011, in French)."
SRHINSTITUTIONALBIRTH,Institutional Births (birth taken place in a facility) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5580,PUBLISHED,Published,,2007,2007,,EUR,Europe,,FRA,2007,2007,France,,98.1,98.10000,,,,,"Institut National de la Statistique et des Études Économiques (INSEE) [France]; 2008. Tableau 64: Conditions d'accouchement selon le groupe d'âges de la mère. Année 2007 [website]. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2008 (http://www.insee.fr/en/insee-statistique-publique/default.asp, accessed 23 November 2011, in French)."
SRHINSTITUTIONALBIRTH,Institutional Births (birth taken place in a facility) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5580,PUBLISHED,Published,,2008,2008,,EUR,Europe,,FRA,2008,2008,France,,98.0,98.00000,,,,,"Institut National de la Statistique et des Études Économiques (INSEE) [France]; 2009. Tableau 64: Conditions d'accouchement selon le groupe d'âges de la mère. Année 2008 [website]. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2009 (http://www.insee.fr/en/insee-statistique-publique/default.asp, accessed 23 November 2011, in French)."
SRHINSTITUTIONALBIRTH,Institutional Births (birth taken place in a facility) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5580,PUBLISHED,Published,,2009,2009,,EUR,Europe,,FRA,2009,2009,France,,97.9,97.90000,,,,,"Institut National de la Statistique et des Études Économiques (INSEE) [France]; 2010. Tableau 64: Conditions d'accouchement selon le groupe d'âges de la mère. Année 2009 [website]. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2010 (http://www.insee.fr/en/insee-statistique-publique/default.asp, accessed 23 November 2011, in French)."
SRHINSTITUTIONALBIRTH,Institutional Births (birth taken place in a facility) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5580,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,97.5,97.50000,,,,,"Institut National de la Statistique et des Études Économiques (INSEE) [France]; 2011. Tableau 64: Conditions d'accouchement selon le groupe d'âges de la mère. Année 2010 [website]. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2011 (http://www.insee.fr/en/insee-statistique-publique/default.asp, accessed 23 November 2011, in French)."
SRHINSTITUTIONALBIRTH,Institutional Births (birth taken place in a facility) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5580,PUBLISHED,Published,,2011,2011,,EUR,Europe,,FRA,2011,2011,France,,96.2,96.20000,,,,,"Institut National de la Statistique et des Études Économiques (INSEE) [France]; 2012. Tableau 64: Conditions d'accouchement selon le groupe d'âges de la mère. Année 2011 [website]. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2012 (http://www.insee.fr/en/insee-statistique-publique/default.asp, accessed 18 October 2013, in French)."
SRHINSTITUTIONALBIRTH,Institutional Births (birth taken place in a facility) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5580,PUBLISHED,Published,,2012,2012,,EUR,Europe,,FRA,2012,2012,France,,97.1,97.10000,,,,,"Institut National de la Statistique et des Études Économiques (INSEE) [France]; 2013. Tableau 64: Conditions d'accouchement selon le groupe d'âges de la mère. Année 2012 [website]. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2013 (http://www.insee.fr/en/insee-statistique-publique/default.asp, accessed 18 October 2013, in French)."
SRHINSTITUTIONALBIRTH,Institutional Births (birth taken place in a facility) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5580,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,98.3,98.30000,,,,,"Institut National de la Statistique et des Études Économiques (INSEE) [France]; 2014. T64: Nés vivants (hors JDN) selon la condition de l’accouchement et le groupe d'âges de la mère. Année 2013 [website]. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2014 (http://www.insee.fr/en/insee-statistique-publique/default.asp, accessed 18 October 2016, in French)."
SRHINSTITUTIONALBIRTH,Institutional Births (birth taken place in a facility) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5580,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,98.3,98.30000,,,,,"Institut National de la Statistique et des Études Économiques (INSEE) [France]; 2015. T64: Nés vivants selon la condition de l’accouchement et le groupe d'âges de la mère. Année 2014 [website]. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2015 (http://www.insee.fr/en/insee-statistique-publique/default.asp, accessed 18 October 2016, in French)."
SRHINSTITUTIONALBIRTH,Institutional Births (birth taken place in a facility) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5580,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,97.7,97.70000,,,,,"Institut National de la Statistique et des Études Économiques (INSEE) [France]; 2016. T64: Nés vivants selon la condition de l’accouchement et le groupe d'âges de la mère. Année 2015 [website]. Paris: Institut National de la Statistique et des Études Économiques (INSEE) [National Institute of Statistics and Economic Studies]; 2016 (http://www.insee.fr/en/insee-statistique-publique/default.asp, accessed 18 October 2016, in French)."
