GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,#indicator+value+num,,,,,
MDG_0000000030,Smear-positive tuberculosis case-detection rate (%),,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,2000,2000,,,FRA,France,,87 [77-100],87.00000,77.00000,100.00000,,,
MDG_0000000030,Smear-positive tuberculosis case-detection rate (%),,PUBLISHED,Published,,2008,2008,,EUR,Europe,,,2008,2008,,,FRA,France,,87 [77-100],87.00000,77.00000,100.00000,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1991,1991,,EUR,Europe,,WB_HI,1991,1991,High-income,,FRA,France,,8510,8510.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1992,1992,,EUR,Europe,,WB_HI,1992,1992,High-income,,FRA,France,,8605,8605.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1994,1994,,EUR,Europe,,WB_HI,1994,1994,High-income,,FRA,France,,9093,9093.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1995,1995,,EUR,Europe,,WB_HI,1995,1995,High-income,,FRA,France,,8723,8723.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1996,1996,,EUR,Europe,,WB_HI,1996,1996,High-income,,FRA,France,,7656,7656.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1997,1997,,EUR,Europe,,WB_HI,1997,1997,High-income,,FRA,France,,6832,6832.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1998,1998,,EUR,Europe,,WB_HI,1998,1998,High-income,,FRA,France,,5981,5981.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1999,1999,,EUR,Europe,,WB_HI,1999,1999,High-income,,FRA,France,,6052,6052.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2000,2000,,EUR,Europe,,WB_HI,2000,2000,High-income,,FRA,France,,6122,6122.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2002,2002,,EUR,Europe,,WB_HI,2002,2002,High-income,,FRA,France,,5709,5709.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2003,2003,,EUR,Europe,,WB_HI,2003,2003,High-income,,FRA,France,,5740,5740.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2005,2005,,EUR,Europe,,WB_HI,2005,2005,High-income,,FRA,France,,4887,4887.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2006,2006,,EUR,Europe,,WB_HI,2006,2006,High-income,,FRA,France,,4817,4817.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2008,2008,,EUR,Europe,,WB_HI,2008,2008,High-income,,FRA,France,,3355,3355.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2009,2009,,EUR,Europe,,WB_HI,2009,2009,High-income,,FRA,France,,2890,2890.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1990,1990,,EUR,Europe,,WB_HI,1990,1990,High-income,,FRA,France,,9030,9030.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1993,1993,,EUR,Europe,,WB_HI,1993,1993,High-income,,FRA,France,,9551,9551.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2001,2001,,EUR,Europe,,WB_HI,2001,2001,High-income,,FRA,France,,5814,5814.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2004,2004,,EUR,Europe,,WB_HI,2004,2004,High-income,,FRA,France,,5004,5004.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2007,2007,,EUR,Europe,,WB_HI,2007,2007,High-income,,FRA,France,,5314,5314.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2010,2010,,EUR,Europe,,WB_HI,2010,2010,High-income,,FRA,France,,2752,2752.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1995,1995,,EUR,Europe,,WB_HI,1995,1995,High-income,,FRA,France,,1900,1900.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1996,1996,,EUR,Europe,,WB_HI,1996,1996,High-income,,FRA,France,,2367,2367.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1997,1997,,EUR,Europe,,WB_HI,1997,1997,High-income,,FRA,France,,1690,1690.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1999,1999,,EUR,Europe,,WB_HI,1999,1999,High-income,,FRA,France,,1390,1390.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2000,2000,,EUR,Europe,,WB_HI,2000,2000,High-income,,FRA,France,,1199,1199.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2002,2002,,EUR,Europe,,WB_HI,2002,2002,High-income,,FRA,France,,1508,1508.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2003,2003,,EUR,Europe,,WB_HI,2003,2003,High-income,,FRA,France,,1502,1502.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2005,2005,,EUR,Europe,,WB_HI,2005,2005,High-income,,FRA,France,,1338,1338.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2006,2006,,EUR,Europe,,WB_HI,2006,2006,High-income,,FRA,France,,1401,1401.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2008,2008,,EUR,Europe,,WB_HI,2008,2008,High-income,,FRA,France,,980,980.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2009,2009,,EUR,Europe,,WB_HI,2009,2009,High-income,,FRA,France,,900,900.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2011,2011,,EUR,Europe,,WB_HI,2011,2011,High-income,,FRA,France,,905,905.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2001,2001,,EUR,Europe,,WB_HI,2001,2001,High-income,,FRA,France,,1474,1474.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2004,2004,,EUR,Europe,,WB_HI,2004,2004,High-income,,FRA,France,,1502,1502.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2007,2007,,EUR,Europe,,WB_HI,2007,2007,High-income,,FRA,France,,1608,1608.00000,,,,,
TB_new_sn,New cases: pulmonary smear-negative,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2010,2010,,EUR,Europe,,WB_HI,2010,2010,High-income,,FRA,France,,886,886.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1995,1995,,EUR,Europe,,WB_HI,1995,1995,High-income,,FRA,France,,1069,1069.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1996,1996,,EUR,Europe,,WB_HI,1996,1996,High-income,,FRA,France,,235,235.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1997,1997,,EUR,Europe,,WB_HI,1997,1997,High-income,,FRA,France,,668,668.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1999,1999,,EUR,Europe,,WB_HI,1999,1999,High-income,,FRA,France,,578,578.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2000,2000,,EUR,Europe,,WB_HI,2000,2000,High-income,,FRA,France,,165,165.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2002,2002,,EUR,Europe,,WB_HI,2002,2002,High-income,,FRA,France,,335,335.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2003,2003,,EUR,Europe,,WB_HI,2003,2003,High-income,,FRA,France,,417,417.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2005,2005,,EUR,Europe,,WB_HI,2005,2005,High-income,,FRA,France,,219,219.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2006,2006,,EUR,Europe,,WB_HI,2006,2006,High-income,,FRA,France,,225,225.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2008,2008,,EUR,Europe,,WB_HI,2008,2008,High-income,,FRA,France,,135,135.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2009,2009,,EUR,Europe,,WB_HI,2009,2009,High-income,,FRA,France,,138,138.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2011,2011,,EUR,Europe,,WB_HI,2011,2011,High-income,,FRA,France,,111,111.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2001,2001,,EUR,Europe,,WB_HI,2001,2001,High-income,,FRA,France,,402,402.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2004,2004,,EUR,Europe,,WB_HI,2004,2004,High-income,,FRA,France,,199,199.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2007,2007,,EUR,Europe,,WB_HI,2007,2007,High-income,,FRA,France,,248,248.00000,,,,,
TB_new_su,New cases: pulmonary smear unknown/not done,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2010,2010,,EUR,Europe,,WB_HI,2010,2010,High-income,,FRA,France,,129,129.00000,,,,,
TB_new_oth,New cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2008,2008,,EUR,Europe,,WB_HI,2008,2008,High-income,,FRA,France,,51,51.00000,,,,,
TB_new_oth,New cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2009,2009,,EUR,Europe,,WB_HI,2009,2009,High-income,,FRA,France,,394,394.00000,,,,,
TB_new_oth,New cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2011,2011,,EUR,Europe,,WB_HI,2011,2011,High-income,,FRA,France,,7,7.00000,,,,,
TB_new_oth,New cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2010,2010,,EUR,Europe,,WB_HI,2010,2010,High-income,,FRA,France,,12,12.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2003,2003,,EUR,Europe,,WB_HI,2003,2003,High-income,,FRA,France,,0,0.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2005,2005,,EUR,Europe,,WB_HI,2005,2005,High-income,,FRA,France,,0,0.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2008,2008,,EUR,Europe,,WB_HI,2008,2008,High-income,,FRA,France,,0,0.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2011,2011,,EUR,Europe,,WB_HI,2011,2011,High-income,,FRA,France,,0,0.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2004,2004,,EUR,Europe,,WB_HI,2004,2004,High-income,,FRA,France,,0,0.00000,,,,,
TB_ret_taf,Retreatment cases: treatment after failure (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2010,2010,,EUR,Europe,,WB_HI,2010,2010,High-income,,FRA,France,,0,0.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1999,1999,,EUR,Europe,,WB_HI,1999,1999,High-income,,FRA,France,,306,306.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2003,2003,,EUR,Europe,,WB_HI,2003,2003,High-income,,FRA,France,,0,0.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2005,2005,,EUR,Europe,,WB_HI,2005,2005,High-income,,FRA,France,,0,0.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2008,2008,,EUR,Europe,,WB_HI,2008,2008,High-income,,FRA,France,,0,0.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2011,2011,,EUR,Europe,,WB_HI,2011,2011,High-income,,FRA,France,,0,0.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2004,2004,,EUR,Europe,,WB_HI,2004,2004,High-income,,FRA,France,,0,0.00000,,,,,
TB_ret_tad,Retreatment cases: treatment after default (pulmonary smear and/or culture positive),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2010,2010,,EUR,Europe,,WB_HI,2010,2010,High-income,,FRA,France,,0,0.00000,,,,,
TB_ret_oth,Retreatment cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1999,1999,,EUR,Europe,,WB_HI,1999,1999,High-income,,FRA,France,,306,306.00000,,,,,
TB_ret_oth,Retreatment cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2003,2003,,EUR,Europe,,WB_HI,2003,2003,High-income,,FRA,France,,322,322.00000,,,,,
TB_ret_oth,Retreatment cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2005,2005,,EUR,Europe,,WB_HI,2005,2005,High-income,,FRA,France,,371,371.00000,,,,,
TB_ret_oth,Retreatment cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2006,2006,,EUR,Europe,,WB_HI,2006,2006,High-income,,FRA,France,,349,349.00000,,,,,
TB_ret_oth,Retreatment cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2008,2008,,EUR,Europe,,WB_HI,2008,2008,High-income,,FRA,France,,379,379.00000,,,,,
TB_ret_oth,Retreatment cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2011,2011,,EUR,Europe,,WB_HI,2011,2011,High-income,,FRA,France,,261,261.00000,,,,,
TB_ret_oth,Retreatment cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2004,2004,,EUR,Europe,,WB_HI,2004,2004,High-income,,FRA,France,,387,387.00000,,,,,
TB_ret_oth,Retreatment cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2007,2007,,EUR,Europe,,WB_HI,2007,2007,High-income,,FRA,France,,137,137.00000,,,,,
TB_ret_oth,Retreatment cases: other,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2010,2010,,EUR,Europe,,WB_HI,2010,2010,High-income,,FRA,France,,315,315.00000,,,,,
TB_mdr,Confirmed cases of MDR-TB,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1367,PUBLISHED,Published,,2005,2005,,EUR,Europe,,WB_HI,2005,2005,High-income,,FRA,France,,24,24.00000,,,,,
TB_mdr,Confirmed cases of MDR-TB,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1367,PUBLISHED,Published,,2006,2006,,EUR,Europe,,WB_HI,2006,2006,High-income,,FRA,France,,30,30.00000,,,,,
TB_mdr,Confirmed cases of MDR-TB,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1367,PUBLISHED,Published,,2007,2007,,EUR,Europe,,WB_HI,2007,2007,High-income,,FRA,France,,20,20.00000,,,,,
TB_mdr,Confirmed cases of MDR-TB,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1367,PUBLISHED,Published,,2008,2008,,EUR,Europe,,WB_HI,2008,2008,High-income,,FRA,France,,27,27.00000,,,,,
TB_mdr,Confirmed cases of MDR-TB,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1367,PUBLISHED,Published,,2009,2009,,EUR,Europe,,WB_HI,2009,2009,High-income,,FRA,France,,30,30.00000,,,,,
TB_mdr,Confirmed cases of MDR-TB,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1367,PUBLISHED,Published,,2010,2010,,EUR,Europe,,WB_HI,2010,2010,High-income,,FRA,France,,23,23.00000,,,,,
TB_mdr,Confirmed cases of MDR-TB,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1367,PUBLISHED,Published,,2011,2011,,EUR,Europe,,WB_HI,2011,2011,High-income,,FRA,France,,40,40.00000,,,,,
TB_mdr,Confirmed cases of MDR-TB,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1367,PUBLISHED,Published,,2012,2012,,EUR,Europe,,WB_HI,2012,2012,High-income,,FRA,France,,39,39.00000,,,,,
TB_conf_mdr_tx_pct,Confirmed cases of MDR-TB started treatment for MDR-TB (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1368,PUBLISHED,Published,,2009,2009,,EUR,Europe,,WB_HI,2009,2009,High-income,,FRA,France,,100,100.00000,,,,,
