GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,63,63.00000,,,,,
UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2011,2011,,EUR,Europe,,FRA,2011,2011,France,,78,78.00000,,,,,
UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2012,2012,,EUR,Europe,,FRA,2012,2012,France,,81,81.00000,,,,,
UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2013,2013,,EUR,Europe,,FRA,2013,2013,France,,85,85.00000,,,,,
UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2014,2014,,EUR,Europe,,FRA,2014,2014,France,,86,86.00000,,,,,
UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,94,94.00000,,,,,
UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2016,2016,,EUR,Europe,,FRA,2016,2016,France,,89,89.00000,,,,,
UHC_SCI_RMNCH,"UHC SCI components: Reproductive, maternal, newborn and child health",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,96,0.95782,,,,,
UHC_SCI_INFECT,UHC SCI components:  Infectious diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,70,0.70427,,,,,
UHC_SCI_NCD,UHC SCI components: Noncommunicable diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,56,0.55718,,,,,
UHC_SCI_CAPACITY,UHC SCI components: Service capacity and access,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,96,0.96046,,,,,
UHC_INDEX_REPORTED,UHC index of service coverage (SCI),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,EUR,Europe,,FRA,2015,2015,France,,78,0.77513,,,,,
UHC_SCI_RMNCH,"UHC SCI components: Reproductive, maternal, newborn and child health",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,EUR,Europe,,FRA,2017,2017,France,,96,0.95641,,,,,
UHC_SCI_INFECT,UHC SCI components:  Infectious diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,EUR,Europe,,FRA,2017,2017,France,,71,0.71308,,,,,
UHC_SCI_NCD,UHC SCI components: Noncommunicable diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,EUR,Europe,,FRA,2017,2017,France,,56,0.55598,,,,,
UHC_SCI_CAPACITY,UHC SCI components: Service capacity and access,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,EUR,Europe,,FRA,2017,2017,France,,96,0.96334,,,,,
UHC_INDEX_REPORTED,UHC index of service coverage (SCI),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,EUR,Europe,,FRA,2017,2017,France,,78,0.77742,,,,,
UHC_AVAILABILITY_SCORE,Data availability for UHC index of service coverage,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833,PUBLISHED,Published,,2013-2017,2013-2017,,EUR,Europe,,FRA,2013,2017,France,,46,0.45714,,,,,
UHC_DATA_AVAIL_CODE,Data availability for UHC index of service coverage (ranking),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4832,PUBLISHED,Published,,2013-2017,2013-2017,,EUR,Europe,,FRA,2013,2017,France,,high,,,,,,
