GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
AIR_3,Percentage of the total population living in cities > 100'000 inhabitants,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,PUBLISHED,Published,,2004,2004,,EUR,Europe,,FRA,2004,2004,France,,42,42.12000,,,,,
EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,PUBLISHED,Published,,1950,1950,,EUR,Europe,,FRA,1950,1950,France,,55.2,55.23200,,,,,
EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,PUBLISHED,Published,,1960,1960,,EUR,Europe,,FRA,1960,1960,France,,61.9,61.88000,,,,,
EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,PUBLISHED,Published,,1970,1970,,EUR,Europe,,FRA,1970,1970,France,,71.1,71.05500,,,,,
EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,PUBLISHED,Published,,1980,1980,,EUR,Europe,,FRA,1980,1980,France,,73.3,73.28200,,,,,
EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,PUBLISHED,Published,,1990,1990,,EUR,Europe,,FRA,1990,1990,France,,74.1,74.05600,,,,,
EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,PUBLISHED,Published,,2000,2000,,EUR,Europe,,FRA,2000,2000,France,,75.9,75.87100,,,,,
EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,PUBLISHED,Published,,2010,2010,,EUR,Europe,,FRA,2010,2010,France,,78.3,78.34500,,,,,
EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,PUBLISHED,Published,,2020,2020,,EUR,Europe,,FRA,2020,2020,France,,80.6,80.64900,,,,,
EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,PUBLISHED,Published,,2030,2030,,EUR,Europe,,FRA,2030,2030,France,,82.7,82.74600,,,,,
EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,PUBLISHED,Published,,2040,2040,,EUR,Europe,,FRA,2040,2040,France,,84.6,84.60300,,,,,
EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,PUBLISHED,Published,,2050,2050,,EUR,Europe,,FRA,2050,2050,France,,86.3,86.29000,,,,,
